trip,flight,route,departure,arrival,supplierconfirmationnumber,bookingsiteconfirmationnumber,agencyconfirmationnumber,ticketnumber,purpose,aircraft_registration,aircraft_type,seat,class,notes,cost
TechEd 2010,DJ528,OOL-SYD,2010-08-27T15:05:00+10:00,2010-08-27T16:35:00+10:00,,,,,B,VH-VOC,738,6D,,,
TechEd 2010,DJ662,SYD-CBR,2010-08-27T17:35:00+10:00,2010-08-27T18:30:00+10:00,,,,,B,VH-ZHE,E70,10C,,,
Cole Funeral,DJ1199,CBR-HBA,2010-10-28T10:55:00+11:00,2010-10-28T12:25:00+11:00,,,,,L,VH-ZHD,E70,6F,,,
Cole Funeral,DJ1200,HBA-CBR,2010-10-29T12:55:00+11:00,2010-10-29T14:20:00+11:00,,,,,L,,E70,9C,,,
Wilson Wedding,DJ252,CBR-MEL,2010-11-27T06:30:00+11:00,2010-11-27T07:30:00+11:00,,,,,L,VH-VOC,738,,,,
Wilson Wedding,DJ1316,MEL-HBA,2010-11-27T08:30:00+11:00,2010-11-27T09:45:00+11:00,,,,,L,,,2D,,,
Wilson Wedding,DJ1325,HBA-MEL,2010-11-28T13:45:00+11:00,2010-11-28T15:00:00+11:00,,,,,L,VH-VOW,738,15D,,,
Wilson Wedding,DJ287,MEL-CBR,2010-11-28T18:00:00+11:00,2010-11-28T19:05:00+11:00,,,,,L,,,12C,,,
Mums Birthday,DJ1887,CBR-TSV,2011-03-04T08:25:00+11:00,2011-03-04T11:05:00+10:00,,,,,L,VH-ZHE,E70,6A,,,
Mums Birthday,QF2300,TSV-CNS,2011-03-04T12:00:00+10:00,2011-03-04T12:50:00+10:00,,,,,L,VH-QOS,DH4,7B,,,
Mums Birthday,QF2309,CNS-TSV,2011-03-08T16:45:00+10:00,2011-03-08T17:40:00+10:00,,,,,L,VH-TQE,DH3,6A,,,
Mums Birthday,DJ1888,TSV-CBR,2011-03-09T10:15:00+10:00,2011-03-09T14:00:00+11:00,,,,,L,VH-ZHF,E70,9C,,,
2011 Tassie Trip 1,QF851,CBR-MEL,2011-06-24T12:25:00+10:00,2011-06-24T13:30:00+10:00,,,,,L,VH-TJW,734,3A,,,
2011 Tassie Trip 1,QF2285,MEL-LST,2011-06-24T15:20:00+10:00,2011-06-24T16:25:00+10:00,,,,,L,,,16A,,,
2011 Tassie Trip 1,QF2050,DPO-LST,2011-06-27T06:10:00+10:00,2011-06-27T06:40:00+10:00,,,,,L,,,5D,,,
2011 Tassie Trip 1,QF2050,LST-MEL,2011-06-27T07:40:00+10:00,2011-06-27T08:40:00+10:00,,,,,L,,,17A,,,
STM01,QF1478,CBR-SYD,2011-09-05T13:10:00+10:00,2011-09-05T14:00:00+10:00,,,,,B,,DH4,15C,,,
STM01,QF1,SYD-BKK,2011-09-05T16:55:00+10:00,2011-09-05T23:15:00+07:00,,,,,B,VH-OJL,744,11K,,Top deck front row right hand side.,
STM01,TG315,BKK-DEL,2011-09-06T17:55:00+07:00,2011-09-06T20:55:00+05:30,,,,,B,HS-TGO,744,16B,,Top deck exit row aisle seat.,
STM01,TG324,DEL-BKK,2011-09-18T11:55:00+05:30,2011-09-18T17:50:00+07:00,,,,,B,HS-TLA,345,21E,,,
STM01,BA9,BKK-SYD,2011-09-19T18:10:00+07:00,2011-09-19T06:05:00+10:00,,,,,B,G-BNLW,744,64A,,Top deck rear facing rear most left hand side; Codeshare sold as QF302.,
STM01,QF787,SYD-CBR,2011-09-20T08:25:00+10:00,2011-09-20T09:20:00+10:00,,,,,B,VH-TJL,734,,,,
2012 Raelenes Birthday,DJ627,CBR-SYD,2012-02-24T06:30:00+11:00,2012-02-24T07:20:00+11:00,,,,,L,VH-FVM,AT7,8F,,Flying to Adelaide for Raelenes Birthday; First ATR-72 flight; Nice leg room; Horrible padding on the seats; Might have been DJ629 0705-0755,
