trip,flight,route,departure,arrival,supplierconfirmationnumber,bookingsiteconfirmationnumber,agencyconfirmationnumber,ticketnumber,purpose,aircraft_registration,aircraft_type,seat,class,notes,cost
EUC Trip #11,QF804,MEL-CBR,2016-07-11T07:20:00+10:00,2016-07-11T08:25:00+10:00,,,,,B,VH-VXM,738,,,,
EUC Trip #11,QF851,CBR-MEL,2016-07-15T00:00:00+10:00,2016-07-15T00:00:00+10:00,,,,,B,,738,,,Was booked on QF819 1700-1810,
EUC Trip #12,QF804,MEL-CBR,2016-07-19T07:20:00+10:00,2016-07-19T08:25:00+10:00,,,,,B,VH-XZI,738,,,,
EUC Trip #12,QF819,CBR-MEL,2016-07-21T17:00:00+10:00,2016-07-21T18:10:00+10:00,,,,,B,VH-VZB,738,,,,
EUC Trip #13,QF804,MEL-CBR,2016-07-26T07:20:00+10:00,2016-07-26T08:25:00+10:00,YKDUXU,QVAAUY,QVAAUY,8.19101E+11,B,VH-VYE,738,,,,811.45 AUD
EUC Trip #13,QF815,CBR-MEL,2016-07-29T15:00:00+10:00,2016-07-29T16:10:00+10:00,YKDUXU,QVAAUY,QVAAUY,8.19101E+11,B,VH-VYH,738,,,Was booked on QF819 1700-1810,811.45 AUD
EUC Trip #14,QF804,MEL-CBR,2016-08-02T07:20:00+10:00,2016-08-02T08:25:00+10:00,YKMWQL,YRWFOC,YRWFOC,8.19101E+11,B,VH-VZV,738,,,811.45 + 69.60 AUD,811.45 AUD
EUC Trip #14,QF819,CBR-MEL,2016-08-04T17:00:00+10:00,2016-08-04T18:10:00+10:00,YKMWQL,YRWFOC,YRWFOC,8.19101E+11,B,VH-VXI,738,,,,811.45 AUD
EUC Trip #15,QF814,MEL-CBR,2016-08-08T09:00:00+10:00,2016-08-08T10:05:00+10:00,ZLHCAB,OFAHPI,OFAHPI,8.19101E+11,B,VH-VYF,738,,,"811.45, 69.60 AUD, 701.83 AUD, Ticket 819101230538",69.60 AUD
EUC Trip #15,QF815,CBR-MEL,2016-08-12T14:55:00+10:00,2016-08-12T16:05:00+10:00,ZLHCAB,OFAHPI,OFAHPI,8.19101E+11,B,VH-VXC,738,,,"811.45, 69.60 AUD, 701.83 AUD, Ticket 819101230538",69.60 AUD
EUC Trip #16,QF804,MEL-CBR,2016-08-16T07:20:00+10:00,2016-08-16T08:25:00+10:00,ZLBB38,OHZFYH,OHZFYH,8.19101E+11,B,VH-VXH,738,,,,771.43 AUD
EUC Trip #16,QF819,CBR-MEL,2016-08-18T17:00:00+10:00,2016-08-18T18:10:00+10:00,ZLBB38,OHZFYH,OHZFYH,8.19101E+11,B,VH-VYH,738,,,,771.43 AUD
Devonport August 2016,QF2057,MEL-DPO,2016-08-19T15:45:00+10:00,2016-08-19T16:50:00+10:00,ZJEYGE,ZJEYGE,,081-2461988510,L,,DH4,,Economy,Was booked on QF2061 1905-2010,347.02
Devonport August 2016,QF2058,DPO-MEL,2016-08-21T16:00:00+10:00,2016-08-21T17:05:00+10:00,ZJEYGE,ZJEYGE,,081-2461988510,L,,DH4,,Economy,,347.02
EUC Trip #17,QF804,MEL-CBR,2016-08-23T07:20:00+10:00,2016-08-23T08:25:00+10:00,ZLMUZR,CASDWP,CASDWP,8.19101E+11,B,VH-VYJ,738,,,,771.43 AUD
EUC Trip #17,QF819,CBR-MEL,2016-08-25T17:00:00+10:00,2016-08-25T18:10:00+10:00,ZLMUZR,CASDWP,CASDWP,8.19101E+11,B,VH-VZC,738,,,,771.43 AUD
EUC Trip #18,QF804,MEL-CBR,2016-08-30T07:20:00+10:00,2016-08-30T08:25:00+10:00,ZLYFIG,CACAEM,CACAEM,8.19101E+11,B,VH-XZL,738,,,,701.83 AUD
EUC Trip #18,QF815,CBR-MEL,2016-09-02T14:55:00+10:00,2016-09-02T16:05:00+10:00,ZLYFIG,CACAEM,CACAEM,8.19101E+11,B,VH-NXI,712,,,Was booked on QF815 1455-1605; Moved on to QF1535,701.83 AUD
EUC Trip #19,QF804,MEL-CBR,2016-09-06T07:20:00+10:00,2016-09-06T08:25:00+10:00,2AS5KS,WRVNZE,WRVNZE,8.19101E+11,B,VH-VYF,738,,,,870.30 AUD
EUC Trip #19,QF819,CBR-MEL,2016-09-08T17:00:00+10:00,2016-09-08T18:10:00+10:00,2AS5KS,WRVNZE,WRVNZE,8.19101E+11,B,,,,,,870.30 AUD
Hong Kong September 2016,QF400,MEL-SYD,2016-09-09T06:00:00+10:00,2016-09-09T07:25:00+10:00,Y4NL7Q,Y4NL7Q,,081-2461753178,L,,332,33B,Economy,Was booked on QF412 0730-0855; Mum was in 33A,2240.04
Hong Kong September 2016,QF83,SYD-HKG,2016-09-09T10:15:00+10:00,2016-09-09T17:40:00+08:00,Y4NL7Q,Y4NL7Q,,081-2461753178,L,,333,24B,Economy,Mum was in 24A,2240.04
Hong Kong September 2016,QF30,HKG-MEL,2016-09-11T20:30:00+08:00,2016-09-12T08:00:00+10:00,Y4NL7Q,Y4NL7Q,,081-2461753178,L,,744,,Premium Economy,,2240.04
EUC Trip #20,QF804,MEL-CBR,2016-09-13T07:20:00+10:00,2016-09-13T08:25:00+10:00,2A9KUX,KHCINZ,KHCINZ,8.19101E+11,B,,,,,,771.43 AUD
EUC Trip #20,QF819,CBR-MEL,2016-09-15T17:00:00+10:00,2016-09-15T18:10:00+10:00,2A9KUX,KHCINZ,KHCINZ,8.19101E+11,B,,,,,,771.43 AUD
EUC Trip #21,QF804,MEL-CBR,2016-09-27T07:20:00+10:00,2016-09-27T08:25:00+10:00,3J9PRN,RBVUSL,RBVUSL,8.11053E+11,B,,738,,,,898.96 AUD
EUC Trip #21,QF819,CBR-MEL,2016-09-29T17:00:00+10:00,2016-09-29T18:10:00+10:00,3J9PRN,RBVUSL,RBVUSL,8.11053E+11,B,,738,,,,898.96 AUD
EUC Trip #22,QF804,MEL-CBR,2016-10-04T07:20:00+11:00,2016-10-04T08:25:00+11:00,3J4388,ZPUQSH,ZPUQSH,8.11053E+11,B,,738,,,8.11054E+11,887.96 AUD
EUC Trip #22,QF815,CBR-MEL,2016-10-07T15:00:00+11:00,2016-10-07T16:10:00+11:00,3J4388,ZPUQSH,ZPUQSH,8.11053E+11,B,,738,,,8.11054E+11,887.96 AUD
EUC Trip #23,QF804,MEL-CBR,2016-10-11T07:20:00+11:00,2016-10-11T08:25:00+11:00,4CIJUH,FMSTUQ,FMSTUQ,8.11054E+11,B,,738,,,,867.19 AUD
EUC Trip #23,QF819,CBR-MEL,2016-10-13T17:00:00+11:00,2016-10-13T18:10:00+11:00,4CIJUH,FMSTUQ,FMSTUQ,8.11054E+11,B,,738,,,,867.19 AUD
Devonport October 2016,QF2057,MEL-DPO,2016-10-14T15:45:00+11:00,2016-10-14T16:50:00+11:00,4WAOF3,4WAOF3,,081-2464150402,L,,DH4,,Economy,,348.52
Devonport October 2016,QF2058,DPO-MEL,2016-10-16T16:00:00+11:00,2016-10-16T17:05:00+11:00,4WAOF3,4WAOF3,,081-2464150402,L,,DH4,,Economy,,348.52
EUC Trip #24,QF804,MEL-CBR,2016-10-18T07:20:00+11:00,2016-10-18T08:25:00+11:00,4CBIZN,IKNJXM,IKNJXM,8.11054E+11,B,,738,7D,,,784.97 AUD
EUC Trip #24,QF819,CBR-MEL,2016-10-20T17:00:00+11:00,2016-10-20T18:10:00+11:00,4CBIZN,IKNJXM,IKNJXM,8.11054E+11,B,,738,6D,,,784.97 AUD
EUC Trip #27,QF818,MEL-CBR,2016-11-06T15:20:00+11:00,2016-11-06T16:25:00+11:00,568FZM,RSLTZO,RSLTZO,8.11054E+11,B,,738,,,,692.11 AUD
EUC Trip #27,QF819,CBR-MEL,2016-11-08T17:00:00+11:00,2016-11-08T18:10:00+11:00,568FZM,RSLTZO,RSLTZO,8.11054E+11,B,,738,,,,692.11 AUD
EUC Trip #28,QF804,MEL-CBR,2016-11-15T07:20:00+11:00,2016-11-15T08:25:00+11:00,57GZN4,LCQGCD,LCQGCD,8.11054E+11,B,,738,,,,582.84 AUD
EUC Trip #28,QF2139,CBR-MEL,2016-11-19T13:45:00+11:00,2016-11-19T14:55:00+11:00,57GZN4,LCQGCD,LCQGCD,8.11054E+11,B,,DH4,,,,582.84 AUD
EUC Trip #29,QF804,MEL-CBR,2016-11-22T07:20:00+11:00,2016-11-22T08:25:00+11:00,57R8IQ,IYPEWC,IYPEWC,8.11054E+11,B,,738,,,,922.32 AUD
EUC Trip #29,QF819,CBR-MEL,2016-11-24T17:00:00+11:00,2016-11-24T18:10:00+11:00,57R8IQ,IYPEWC,IYPEWC,8.11054E+11,B,,738,,,,922.32 AUD
Devonport November 2016,QF2061,MEL-DPO,2016-11-24T19:15:00+11:00,2016-11-24T20:20:00+11:00,6KGTMT,6KGTMT,,081-2465071748,L,,DH4,,Economy,,321.21
Devonport November 2016,QF2058,DPO-MEL,2016-11-27T16:00:00+11:00,2016-11-27T17:05:00+11:00,6KGTMT,6KGTMT,,081-2465071748,L,,DH4,,Economy,,321.21
EUC Trip #30,QF804,MEL-CBR,2016-11-29T07:20:00+11:00,2016-11-29T08:25:00+11:00,79QQD2,PABRWA,PABRWA,8.11164E+11,B,,738,,,,997.13 AUD
EUC Trip #30,QF819,CBR-MEL,2016-12-01T17:00:00+11:00,2016-12-01T18:10:00+11:00,79QQD2,PABRWA,PABRWA,8.11164E+11,B,,738,,,,997.13 AUD
EUC Trip #31,QF804,MEL-CBR,2016-12-06T07:20:00+11:00,2016-12-06T08:25:00+11:00,792BO3,IKECIL,IKECIL,8.11164E+11,B,,738,,,,922.32 AUD
EUC Trip #31,QF819,CBR-MEL,2016-12-08T17:00:00+11:00,2016-12-08T18:10:00+11:00,792BO3,IKECIL,IKECIL,8.11164E+11,B,,738,,,,922.32 AUD
EUC Trip #32,QF804,MEL-CBR,2016-12-13T07:20:00+11:00,2016-12-13T08:25:00+11:00,79UFAV,PBDAEC,PBDAEC,8.11164E+11,B,,738,,,,784.97 AUD
EUC Trip #32,QF819,CBR-MEL,2016-12-15T17:00:00+11:00,2016-12-15T18:10:00+11:00,79UFAV,PBDAEC,PBDAEC,8.11164E+11,B,,738,6F,,,784.97 AUD
EUC Trip #33,QF814,MEL-CBR,2017-01-09T09:00:00+11:00,2017-01-09T10:05:00+11:00,YWH2TG,HMMLAP,HMMLAP,8.11165E+11,B,,738,,,,625.13 AUD
EUC Trip #33,QF819,CBR-MEL,2017-01-13T17:00:00+11:00,2017-01-13T18:10:00+11:00,YWH2TG,HMMLAP,HMMLAP,8.11165E+11,B,,738,,,,625.13 AUD
EUC Trip #34,QF804,MEL-CBR,2017-01-17T07:20:00+11:00,2017-01-17T08:25:00+11:00,X6UJMT,BGVVYI,BGVVYI,,B,,738,,,,
EUC Trip #34,QF819,CBR-MEL,2017-01-19T17:00:00+11:00,2017-01-19T18:10:00+11:00,X6UJMT,BGVVYI,BGVVYI,,B,,738,,,,
EUC Trip #35,QF804,MEL-CBR,2017-01-23T07:20:00+11:00,2017-01-23T08:25:00+11:00,X6W55I,VGADCI,VGADCI,,B,,738,,,,
EUC Trip #35,QF819,CBR-MEL,2017-01-25T17:00:00+11:00,2017-01-25T18:10:00+11:00,X6W55I,VGADCI,VGADCI,,B,,738,,,,
EUC Trip #36,QF804,MEL-CBR,2017-01-31T07:20:00+11:00,2017-01-31T08:25:00+11:00,2O7KCB,FKDMKG,FKDMKG,8.11165E+11,B,,738,,,,"1,008.41 AUD"
EUC Trip #36,QF819,CBR-MEL,2017-02-02T17:00:00+11:00,2017-02-02T18:10:00+11:00,2O7KCB,FKDMKG,FKDMKG,8.11165E+11,B,,738,,,,"1,008.41 AUD"
EUC Trip #37,QF804,MEL-CBR,2017-02-06T07:20:00+11:00,2017-02-06T08:25:00+11:00,2O4VKT,VSOSBY,VSOSBY,8.11165E+11,B,,738,,,,905.94 AUD
EUC Trip #37,QF819,CBR-MEL,2017-02-09T17:00:00+11:00,2017-02-09T18:10:00+11:00,2O4VKT,VSOSBY,VSOSBY,8.11165E+11,B,,738,,,,905.94 AUD
EUC Trip #38,QF804,MEL-CBR,2017-02-14T07:20:00+11:00,2017-02-14T08:25:00+11:00,3Q9EPB,VHRFDT,VHRFDT,8.11165E+11,B,,738,,,,"1,008.41 AUD"
EUC Trip #38,QF819,CBR-MEL,2017-02-16T17:00:00+11:00,2017-02-16T18:10:00+11:00,3Q9EPB,VHRFDT,VHRFDT,8.11165E+11,B,,738,,,,"1,008.41 AUD"
EUC Trip #39,QF804,MEL-CBR,2017-02-21T07:20:00+11:00,2017-02-21T08:25:00+11:00,3RBT7A,VRQSPO,VRQSPO,8.11165E+11,B,,738,,,,938.82 AUD
EUC Trip #39,QF819,CBR-MEL,2017-02-23T17:00:00+11:00,2017-02-23T18:10:00+11:00,3RBT7A,VRQSPO,VRQSPO,8.11165E+11,B,,738,,,,938.82 AUD
EUC Trip #40,QF822,MEL-CBR,2017-02-27T19:40:00+11:00,2017-02-27T20:45:00+11:00,3RKSRP,XXAORX,XXAORX,8.11165E+11,B,,738,,,,641.77 AUD
EUC Trip #40,QF819,CBR-MEL,2017-03-02T17:00:00+11:00,2017-03-02T18:10:00+11:00,3RKSRP,XXAORX,XXAORX,8.11165E+11,B,,738,,,,641.77 AUD
EUC Trip #41,QF804,MEL-CBR,2017-03-07T07:20:00+11:00,2017-03-07T08:25:00+11:00,42BT8O,QGXQDN,QGXQDN,8.11331E+11,L,,73H,,,,"1,047.65 AUD"
EUC Trip #41,QF815,CBR-MEL,2017-03-09T15:00:00+11:00,2017-03-09T16:10:00+11:00,42BT8O,QGXQDN,QGXQDN,8.11331E+11,L,,73H,,,,"1,047.65 AUD"
EUC Trip #42,QF804,MEL-CBR,2017-03-14T07:20:00+11:00,2017-03-14T08:25:00+11:00,4Z6J3W,RBEEXG,RBEEXG,8.11331E+11,L,,73H,9A,,,
EUC Trip #42,QF815,CBR-MEL,2017-03-17T15:00:00+11:00,2017-03-17T16:10:00+11:00,4Z6J3W,RBEEXG,RBEEXG,8.11331E+11,L,,73H,,,,
EUC Trip #43,QF804,MEL-CBR,2017-03-21T07:20:00+11:00,2017-03-21T08:25:00+11:00,42H7KS,LIPDHG,LIPDHG,8.11331E+11,L,,73H,,,,818.44 AUD
EUC Trip #43,QF819,CBR-MEL,2017-03-23T17:00:00+11:00,2017-03-23T18:10:00+11:00,42H7KS,LIPDHG,LIPDHG,8.11331E+11,L,,73H,,,,818.44 AUD
EUC Trip #44,QF804,MEL-CBR,2017-03-28T07:20:00+11:00,2017-03-28T08:25:00+11:00,42LSEZ,CFMZXX,CFMZXX,8.11331E+11,L,,73H,,,,818.44 AUD
EUC Trip #44,QF819,CBR-MEL,2017-03-30T17:00:00+11:00,2017-03-30T18:10:00+11:00,42LSEZ,CFMZXX,CFMZXX,8.11331E+11,L,,73H,,,,818.44 AUD
Devonport March 2017,QF2057,MEL-DPO,2017-03-31T15:40:00+11:00,2017-03-31T16:45:00+11:00,548A2X,548A2X,,081-2469659690,L,,DH4,,Economy,,215.8
Devonport March 2017,ZL3574,BWT-MEL,2017-04-02T16:20:00+10:00,2017-04-02T17:35:00+10:00,LRQYHR,,,899 21 7175 1843,L,,SF3,,,,166.65
EUC Trip #45,QF804,MEL-CBR,2017-04-04T07:00:00+10:00,2017-04-04T08:05:00+10:00,6OEAKQ,6OEAKQ,,8.11332E+11,L,,73H,,Economy,,807.94
EUC Trip #45,QF815,CBR-MEL,2017-04-07T15:15:00+10:00,2017-04-07T16:25:00+10:00,6OEAKQ,6OEAKQ,,8.11332E+11,L,,73H,,Economy,,807.94
EUC Trip #46,QF804,MEL-CBR,2017-04-11T07:00:00+10:00,2017-04-11T08:05:00+10:00,6N7979,DPGAGA,DPGAGA,8.11332E+11,L,,73H,,,,975.44 AUD
EUC Trip #46,QF819,CBR-MEL,2017-04-13T17:05:00+10:00,2017-04-13T18:15:00+10:00,6N7979,DPGAGA,DPGAGA,8.11332E+11,L,,73H,,,,975.44 AUD
Innisfail Easter 2017,QF702,MEL-CNS,2017-04-14T09:10:00+10:00,2017-04-14T12:35:00+10:00,44YA3K,44YA3K,,081-2469166994,L,,,,Economy,,1440.58
Innisfail Easter 2017,QF971,TSV-BNE,2017-04-18T11:35:00+10:00,2017-04-18T13:20:00+10:00,44YA3K,44YA3K,,081-2469166994,L,,,,Economy,,1440.58
Innisfail Easter 2017,QF627,BNE-MEL,2017-04-18T15:55:00+10:00,2017-04-18T18:20:00+10:00,44YA3K,44YA3K,,081-2469166994,L,,,,Economy,,1440.58
EUC Trip #47,QF804,MEL-CBR,2017-04-19T07:00:00+10:00,2017-04-19T08:05:00+10:00,6OF7GV,XSGNQD,XSGNQD,8.11332E+11,L,,73H,,,,723.12 AUD
EUC Trip #47,QF819,CBR-MEL,2017-04-21T17:05:00+10:00,2017-04-21T18:15:00+10:00,6OF7GV,XSGNQD,XSGNQD,8.11332E+11,L,,73H,,,,723.12 AUD
EUC Trip #48,QF804,MEL-CBR,2017-04-26T07:00:00+10:00,2017-04-26T08:05:00+10:00,6N95O6,GVLTRC,GVLTRC,8.11332E+11,L,,73H,,,,768.35 AUD
EUC Trip #48,QF819,CBR-MEL,2017-04-28T17:05:00+10:00,2017-04-28T18:15:00+10:00,6N95O6,GVLTRC,GVLTRC,8.11332E+11,L,,73H,,,,768.35 AUD
Devonport April 2017,QF2061,MEL-DPO,2017-05-05T19:15:00+10:00,2017-05-05T20:20:00+10:00,6KZZ8A,6KZZ8A,,081-2469932787,L,,DH4,,Economy,,392
Devonport April 2017,QF2058,DPO-MEL,2017-05-07T16:00:00+10:00,2017-05-07T17:05:00+10:00,6KZZ8A,6KZZ8A,,081-2469932787,L,,DH4,,Economy,,392
EUC Trip #49,QF822,MEL-CBR,2017-05-08T19:30:00+10:00,2017-05-08T20:35:00+10:00,KSKZ84,AYPLSH,AYPLSH,8.11332E+11,L,,73H,,,,792.81 AUD
EUC Trip #49,QF819,CBR-MEL,2017-05-11T17:05:00+10:00,2017-05-11T18:15:00+10:00,KSKZ84,AYPLSH,AYPLSH,8.11332E+11,L,,73H,,,,792.81 AUD
Devonport May 2017,QF2061,MEL-DPO,2017-05-11T19:15:00+10:00,2017-05-11T20:20:00+10:00,SYINOM,SYINOM,,081-2471124073,L,,DH4,,Economy,,505.5
Devonport May 2017,QF2050,DPO-MEL,2017-05-14T08:25:00+10:00,2017-05-14T09:30:00+10:00,SYINOM,SYINOM,,081-2471124073,L,,DH4,,Economy,,505.5
EUC Trip #50,QF822,MEL-CBR,2017-05-15T19:30:00+10:00,2017-05-15T20:35:00+10:00,KS9MUI,SCPYWL,SCPYWL,8.11332E+11,L,,73H,,,,772.78 AUD
EUC Trip #50,QF819,CBR-MEL,2017-05-18T17:05:00+10:00,2017-05-18T18:15:00+10:00,KS9MUI,SCPYWL,SCPYWL,8.11332E+11,L,,73H,,,,772.78 AUD
EUC Trip #51,QF822,MEL-CBR,2017-05-22T19:30:00+10:00,2017-05-22T20:35:00+10:00,KSV7GW,SUAVVU,SUAVVU,8.11332E+11,L,,73H,,,,664.48 AUD
EUC Trip #51,QF819,CBR-MEL,2017-05-25T17:05:00+10:00,2017-05-25T18:15:00+10:00,KSV7GW,SUAVVU,SUAVVU,8.11332E+11,L,,73H,,,,664.48 AUD
EUC Trip #52,QF822,MEL-CBR,2017-05-29T19:30:00+10:00,2017-05-29T20:35:00+10:00,KSQQ47,TEHZYS,TEHZYS,8.11332E+11,L,,73H,,,,523.01 AUD
EUC Trip #52,QF815,CBR-MEL,2017-06-01T15:15:00+10:00,2017-06-01T16:25:00+10:00,KSQQ47,TEHZYS,TEHZYS,8.11332E+11,L,,73H,,,,523.01 AUD
EUC Trip #53,QF804,MEL-CBR,2017-06-06T07:00:00+10:00,2017-06-06T08:05:00+10:00,TNL5BA,EDXKFP,EDXKFP,8.14972E+11,L,,73H,,,,695.14 AUD
EUC Trip #53,QF815,CBR-MEL,2017-06-08T15:15:00+10:00,2017-06-08T16:25:00+10:00,TNL5BA,EDXKFP,EDXKFP,8.14972E+11,L,,73H,,,,695.14 AUD
Devonport June 2017,QF2061,MEL-DPO,2017-06-08T19:15:00+10:00,2017-06-08T20:20:00+10:00,SNUC4D,SNUC4D,,081-2471741754,L,,DH4,,Economy,,648.4
Devonport June 2017,QF2058,DPO-MEL,2017-06-12T17:10:00+10:00,2017-06-12T18:15:00+10:00,SNUC4D,SNUC4D,,081-2471741754,L,,DH4,,Economy,,648.4
EUC Trip #54,QF822,MEL-CBR,2017-06-12T19:30:00+10:00,2017-06-12T20:35:00+10:00,TO47MT,KEHKQX,KEHKQX,8.14972E+11,L,,73H,,,,818.44 AUD
EUC Trip #54,QF819,CBR-MEL,2017-06-15T17:05:00+10:00,2017-06-15T18:15:00+10:00,TO47MT,KEHKQX,KEHKQX,8.14972E+11,L,,73H,,,,818.44 AUD
EUC Trip #55,QF822,MEL-CBR,2017-06-19T19:30:00+10:00,2017-06-19T20:35:00+10:00,TNYY24,WMFCNJ,WMFCNJ,8.14972E+11,L,,73H,,,,664.48 AUD
EUC Trip #55,QF819,CBR-MEL,2017-06-22T17:05:00+10:00,2017-06-22T18:15:00+10:00,TNYY24,WMFCNJ,WMFCNJ,8.14972E+11,L,,73H,,,,664.48 AUD
EUC Trip #56,QF742,MEL-CBR,2017-06-26T18:50:00+10:00,2017-06-26T19:55:00+10:00,TOPQIW,CEBYJA,CEBYJA,8.14972E+11,L,,73H,,,,664.48 AUD
EUC Trip #56,QF819,CBR-MEL,2017-06-29T17:05:00+10:00,2017-06-29T18:15:00+10:00,TOPQIW,CEBYJA,CEBYJA,8.14972E+11,L,,73H,,,,664.48 AUD
EUC Trip #57,QF822,MEL-CBR,2017-07-02T19:30:00+10:00,2017-07-02T20:35:00+10:00,M55TZV,CBDKDL,CBDKDL,8.14973E+11,L,,73H,,,,818.44 AUD
EUC Trip #57,QF819,CBR-MEL,2017-07-07T17:05:00+10:00,2017-07-07T18:15:00+10:00,M55TZV,CBDKDL,CBDKDL,8.14973E+11,L,,73H,,,,818.44 AUD
EUC Trip #58,QF822,MEL-CBR,2017-07-10T19:30:00+10:00,2017-07-10T20:35:00+10:00,VYJHAY,TLMNF4,,,L,,73H,,Economy - M,,AUD 925.27
EUC Trip #58,QF819,CBR-MEL,2017-07-13T17:05:00+10:00,2017-07-13T18:15:00+10:00,VYJHAY,TLMNF4,,,L,,73H,,Economy - Y,,AUD 925.27
EUC Trip #59,QF826,MEL-CBR,2017-07-17T16:40:00+10:00,2017-07-17T17:45:00+10:00,TDX26Q,BRSS9W,,,B,,73H,,Economy - M,,AUD 743.37
EUC Trip #59,QF819,CBR-MEL,2017-07-20T17:05:00+10:00,2017-07-20T18:15:00+10:00,TDX26Q,BRSS9W,,,B,,73H,,Economy - K,,AUD 743.37
EUC Trip #60,QF742,MEL-CBR,2017-07-24T18:50:00+10:00,2017-07-24T19:55:00+10:00,JESE7X,38TT00,,,L,,73H,,Economy - N,,AUD 607.59
EUC Trip #60,QF819,CBR-MEL,2017-07-27T17:05:00+10:00,2017-07-27T18:15:00+10:00,JESE7X,38TT00,,,L,,73H,,Economy - K,,AUD 607.59
EUC Trip #61,QF742,MEL-CBR,2017-07-31T18:50:00+10:00,2017-07-31T19:55:00+10:00,LCCR6S,BCXDM2,,,L,,73H,,Economy - N,,AUD 613.01
EUC Trip #61,QF819,CBR-MEL,2017-08-03T17:05:00+10:00,2017-08-03T18:15:00+10:00,LCCR6S,BCXDM2,,,L,,73H,,Economy - K,,AUD 613.01
EUC Trip #62,QF742,MEL-CBR,2017-08-07T18:50:00+10:00,2017-08-07T19:55:00+10:00,LCLC2T,BFC7K0,,,L,,73H,,Economy - N,,AUD 794.64
EUC Trip #62,QF819,CBR-MEL,2017-08-10T17:05:00+10:00,2017-08-10T18:15:00+10:00,LCLC2T,BFC7K0,,,L,,73H,,Economy - Y,,AUD 794.64
EUC Trip #63,QF742,MEL-CBR,2017-08-14T18:50:00+10:00,2017-08-14T19:55:00+10:00,NKBCJB,ST1DGY,,,L,,73H,,Economy - M,,AUD 821.69
EUC Trip #63,QF819,CBR-MEL,2017-08-18T17:05:00+10:00,2017-08-18T18:15:00+10:00,NKBCJB,ST1DGY,,,L,,73H,,Economy - H,,AUD 821.69
EUC Trip #64,QF742,MEL-CBR,2017-08-21T18:50:00+10:00,2017-08-21T19:55:00+10:00,NOIM8Y,T8L6LA,,,L,,73H,,Economy - M,,AUD 748.64
EUC Trip #64,QF819,CBR-MEL,2017-08-24T17:05:00+10:00,2017-08-24T18:15:00+10:00,NOIM8Y,T8L6LA,,,L,,73H,,Economy - K,,AUD 748.64
EUC Trip #65,QF742,MEL-CBR,2017-08-28T18:50:00+10:00,2017-08-28T19:55:00+10:00,TQ4Y9V,RLD5M6,,,L,,73H,,Economy - Q,,AUD 675.14
EUC Trip #65,QF819,CBR-MEL,2017-08-31T17:05:00+10:00,2017-08-31T18:15:00+10:00,TQ4Y9V,RLD5M6,,,L,,73H,,Economy - H,,AUD 675.14
EUC Trip #66,QF848,MEL-CBR,2017-09-04T12:00:00+10:00,2017-09-04T13:05:00+10:00,TP7AAA,RJWXR0,,,L,,73H,,Economy - S,,AUD 686.06
EUC Trip #66,QF819,CBR-MEL,2017-09-07T17:05:00+10:00,2017-09-07T18:15:00+10:00,TP7AAA,RJWXR0,,,L,,73H,,Economy - H,,AUD 686.06
EUC Trip #67,QF742,MEL-CBR,2017-09-11T18:50:00+10:00,2017-09-11T19:55:00+10:00,M7DYE7,V1D376,,0815792770017,L,,73H,,Red e-Deal (Q),,AUD 775.03
EUC Trip #67,QF819,CBR-MEL,2017-09-14T17:05:00+10:00,2017-09-14T18:15:00+10:00,M7DYE7,V1D376,,0815792770017,L,,73H,,FLEX Y/B (Y),,AUD 775.03
Ignite 2017,QF93,MEL-LAX,2017-09-24T09:15:00+10:00,2017-09-24T06:35:00-07:00,"5KG6IK, CHKKCA",LQUDGB,LQUDGB,,L,,388,24A,Premium Economy,,
Ignite 2017,VX1312,LAX-MCO,2017-09-24T10:21:00-07:00,2017-09-24T18:32:00-04:00,"5KG6IK, CHKKCA",LQUDGB,LQUDGB,,L,,320,,Premium Economy,,
Ignite 2017,AA2623,MCO-DCA,2017-09-29T20:45:00-04:00,2017-09-29T22:54:00-04:00,LBWBSA,,,12127625880,L,,738,,I,,302
Ignite 2017,AA478,JFK-CLT,2017-10-05T12:01:00-04:00,2017-10-05T13:52:00-04:00,FXWIQJ,,,12130835380,L,,320,,L,,404.9
Ignite 2017,AA1822,CLT-AUS,2017-10-05T14:35:00-04:00,2017-10-05T16:20:00-05:00,FXWIQJ,,,12130835380,L,,319,,L,,404.9
Ignite 2017,AA1595,AUS-DFW,2017-10-09T06:25:00-05:00,2017-10-09T07:34:00-05:00,KFSNKL,,,12145574214,L,,,,I,,377.2
Ignite 2017,AA2250,DFW-LAX,2017-10-09T08:40:00-05:00,2017-10-09T10:22:00-07:00,KFSNKL,,,12145574214,L,,,,I,,377.2
Ignite 2017,QF94,LAX-MEL,2017-10-12T22:10:00-07:00,2017-10-14T07:55:00+11:00,"5KG6IK, CHKKCA",LQUDGB,LQUDGB,,L,,388,24K,Premium Economy,,
EUC Trip #69,QF742,MEL-CBR,2017-10-16T18:30:00+11:00,2017-10-16T19:35:00+11:00,M7Z68L,V24G5Y,,,L,,73H,,Economy - E,,AUD 564.40
EUC Trip #69,QF819,CBR-MEL,2017-10-19T17:00:00+11:00,2017-10-19T18:10:00+11:00,M7Z68L,V24G5Y,,,L,,73H,,Economy - K,,AUD 564.40
EUC Trip #70,QF804,MEL-CBR,2017-10-24T07:20:00+11:00,2017-10-24T08:25:00+11:00,V9JTVH,L1MXFG,,,L,,73H,,Economy - H,,AUD 958.96
